device,HBMBw,HBMBwLow,hbmBwHigh,MALLBw,MALLBwLow,MALLBwHigh,L2Bw,L2BwLow,L2BwHigh,L1Bw,L1BwLow,L1BwHigh,LDSBw,LDSBwLow,LDSBwHigh,FP8Flops,FP8FlopsLow,FP8FlopsHigh,FP16Flops,FP16FlopsLow,FP16FlopsHigh,BF16Flops,BF16FlopsLow,BF16FlopsHigh,FP32Flops,FP32FlopsLow,FP32FlopsHigh,FP64Flops,FP64FlopsLow,FP64FlopsHigh,I8Ops,I8OpsLow,I8OpsHigh,I32Ops,I32OpsLow,I32OpsHigh,I64Ops,I64OpsLow,I64OpsHigh,MFMAF4Flops,MFMAF4FlopsLow,MFMAF4FlopsHigh,MFMAF6Flops,MFMAF6FlopsLow,MFMAF6FlopsHigh,MFMAF8Flops,MFMAF8FlopsLow,MFMAF8FlopsHigh,MFMAF16Flops,MFMAF16FlopsLow,MFMAF16FlopsHigh,MFMABF16Flops,MFMABF16FlopsLow,MFMABF16FlopsHigh,MFMAF32Flops,MFMAF32FlopsLow,MFMAF32FlopsHigh,MFMAF64Flops,MFMAF64FlopsLow,MFMAF64FlopsHigh,MFMAI8Ops,MFMAI8OpsLow,MFMAI8OpsHigh
0,4244.3501,4242.4946,4246.2056,6422.188,6419.2607,6425.1152,25345.92,25331.697,25360.143,32965.035,32929.148,33000.922,73037.414,72981.727,73093.102,81683.969,81647.453,81720.484,39034.828,39021.516,39048.141,5657.291,5655.2544,5659.3276,127359.52,127136.82,127582.23,104594.98,104324.82,104865.13,81113.836,81069.281,81158.391,70045.273,69972.852,70117.695,19286.711,19274.211,19299.211,0,0,0,0,0,0,1867987.4,1865018.6,1870956.1,916294,915722.62,916865.38,516455.44,516016.12,516894.75,139236.61,139157.39,139315.83,142937.06,142817.05,143057.08,977098.56,976395.12,977802
1,4255.5859,4253.5562,4257.6157,6414.4307,6410.9067,6417.9546,24678.912,24649.553,24708.271,30702.168,30238.77,31165.566,75720.648,75202.266,76239.031,79697.211,79643.82,79750.602,38493.668,38476.895,38510.441,5481.5898,5475.2495,5487.9302,124674.51,124335.57,125013.45,98492.641,98233.562,98751.719,79129.656,79084.188,79175.125,67719.812,67647.242,67792.383,19013.492,19000.41,19026.574,0,0,0,0,0,0,1779724,1776687.6,1782760.4,871953.62,871309,872598.25,496860.56,496325.78,497395.34,134723.45,134643.2,134803.7,140416.11,140280.3,140551.92,936088.75,935264.62,936912.88
2,4254.1167,4251.9741,4256.2593,6258.5879,6254.3311,6262.8447,25202.631,25188.111,25217.15,33378.594,33335.145,33422.043,76106.148,76045.234,76167.062,82541.617,82525.797,82557.438,39304.461,39300.016,39308.906,5747.2749,5745.1592,5749.3906,129062.67,128817.54,129307.8,104364.65,104014.13,104715.16,82328.062,82301.93,82354.195,70771.906,70640.562,70903.25,19611.275,19601.354,19621.197,0,0,0,0,0,0,1876860.8,1873268.2,1880453.2,921311.19,920748.88,921873.5,518565.38,517794.53,519336.22,139599.19,139444.84,139753.53,145264.7,145143.45,145385.95,984762.31,984029.69,985494.94
3,4255.4307,4253.5679,4257.2935,6423.4219,6420.123,6426.7207,25973.482,25964.414,25982.551,34300.391,34266.82,34333.961,76108.273,76083.227,76133.32,82405.297,82376.117,82434.477,39256.004,39249.25,39262.758,5808.4683,5806.1738,5810.7627,130666.42,130375.51,130957.34,106762.79,106456.16,107069.42,82331.633,82307.523,82355.742,71014.523,70936.805,71092.242,19849.781,19837.814,19861.748,0,0,0,0,0,0,1916087.2,1912538.4,1919636.1,940171.25,939546,940796.5,523466.44,523068.56,523864.31,141096.23,141026.92,141165.55,146784.28,146655.5,146913.06,1000992.9,1000167.8,1001818
4,4251.772,4249.7583,4253.7856,6423.9463,6420.4907,6427.4019,26218.348,26210.418,26226.277,34124.785,34087.168,34162.402,76310.148,76258.312,76361.984,82690.453,82669.703,82711.203,39372.324,39366.895,39377.754,5875.2495,5873.0366,5877.4624,131738.39,131455.94,132020.84,106508.3,106235.86,106780.73,82658.203,82638.016,82678.391,71608.484,71520.688,71696.281,20065.432,20052.789,20078.074,0,0,0,0,0,0,1921983.5,1918939.8,1925027.2,941861.06,941108.38,942613.75,526884.88,526497.25,527272.5,142674.25,142603.17,142745.33,148593.62,148475.8,148711.45,995147.12,994410,995884.25
5,4256.7354,4254.6665,4258.8042,6418.3701,6415.0659,6421.6743,25779.938,25772.094,25787.781,33726.578,33681.156,33772,76098.367,76009.133,76187.602,82499.547,82477.047,82522.047,39270.566,39261.391,39279.742,5786.1094,5784.0068,5788.2119,130114.82,129833.64,130396,106314.51,106045.18,106583.84,82358.328,82331.727,82384.93,70808.258,70740.438,70876.078,19766.027,19753.135,19778.92,0,0,0,0,0,0,1903109.1,1900294.8,1905923.5,933712,933138,934286,520575.88,520044.19,521107.56,140690.84,140632.38,140749.31,146432.44,146280.28,146584.59,994712.38,993931.75,995493
6,4255.6035,4253.5698,4257.6372,6418.4976,6415.0552,6421.9399,25914.699,25906.723,25922.676,33841.09,33794.016,33888.164,76295.258,76270.266,76320.25,82717.539,82691.547,82743.531,39383.988,39380.738,39387.238,5821.9048,5819.6245,5824.1851,130540.99,130251.55,130830.44,105942.85,105691.29,106194.41,82618.742,82594.484,82643,71079.75,71010.305,71149.195,19875.127,19863.332,19886.922,0,0,0,0,0,0,1908895.6,1906200.4,1911590.9,935356.38,934729.19,935983.56,522584.03,522138.47,523029.59,141223.2,141145.27,141301.14,147149.3,147014.66,147283.94,998295.38,997314.38,999276.38
7,4255.7222,4253.77,4257.6743,6420.6768,6417.3838,6423.9697,25699.203,25688.533,25709.873,33292.477,33255.121,33329.832,76041.477,76012.008,76070.945,82349.773,82323.938,82375.609,39220.824,39215.754,39225.895,5744.3867,5742.1079,5746.6655,129635.13,129367.87,129902.4,106214.36,105904.7,106524.02,82108.102,82073.008,82143.195,71070.312,70936.352,71204.273,19633.199,19621.619,19644.779,0,0,0,0,0,0,1898603.4,1894973.8,1902233,932497.44,931931.12,933063.75,519540.72,519086.03,519995.41,139730.52,139665.22,139795.81,145313.09,145194.42,145431.77,992274.88,991356.25,993193.5
