Kernel_Name,Count,Sum(ns),Mean(ns),Median(ns),Pct
"void batched_matrix_multiplication_matrix_core_64x64x4<64u, 64u, 8u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)",150,5622313.640625,37482.0909375,37406.08203125,87.025922626072
__amd_rocclr_fillBufferAligned,151,838190.8515625,5550.932791804636,5514.15625,12.974077373927992
