Kernel_Name,Count,Sum(ns),Mean(ns),Median(ns),Pct
"void batched_matrix_multiplication_matrix_core_128x128x16<128u, 128u, 16u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)",150,3015001.0,20100.006666666668,20080.0625,78.28675911035891
__amd_rocclr_fillBufferAligned,151,836226.25,5537.922185430463,5514.25,21.71324088964109
