"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,9728,"; _Z52batched_matrix_multiplication_matrix_core_128x128x16ILj128ELj128ELj16EEvjjjjPKDF16bS1_PDF16b4dim3S3_S3_",0,0,0,0,"void batched_matrix_multiplication_matrix_core_128x128x16<128u, 128u, 16u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3)"
2,9728,"s_load_dwordx2 s[6:7], s[0:1], 0x4",8,100,64,8160,""
2,9736,"s_load_dwordx4 s[16:19], s[0:1], 0x10",8,2464,2432,0,""
2,9744,"s_load_dwordx2 s[20:21], s[0:1], 0x20",8,64,32,0,""
2,9752,"s_load_dwordx8 s[8:15], s[0:1], 0x28",8,780,748,0,""
2,9760,"s_load_dword s5, s[0:1], 0x48",8,32,0,0,""
2,9768,"s_lshl_b32 s26, s3, 7",8,32,0,0,""
2,9772,"v_lshrrev_b32_e32 v36, 7, v0",8,32,0,0,""
2,9776,"v_and_b32_e32 v2, 63, v0",8,32,0,0,""
2,9780,"s_waitcnt lgkmcnt(0)",8,3596,3596,0,""
2,9784,"s_mul_i32 s0, s8, s4",8,36,4,0,""
2,9788,"s_mul_i32 s1, s9, s26",8,48,16,0,""
2,9792,"s_add_i32 s0, s1, s0",8,44,12,0,""
2,9796,"s_mov_b32 s1, 0",8,32,0,0,""
2,9800,"s_lshl_b64 s[22:23], s[0:1], 1",8,32,0,0,""
2,9804,"s_add_u32 s28, s16, s22",8,32,0,0,""
2,9808,"s_addc_u32 s29, s17, s23",8,32,0,0,""
2,9812,"s_mul_i32 s0, s11, s4",8,32,0,0,""
2,9816,"s_lshl_b32 s11, s2, 7",8,32,0,0,""
2,9820,"v_bfe_u32 v1, v0, 6, 1",8,32,0,0,""
2,9828,"s_mul_i32 s2, s13, s11",8,32,0,0,""
2,9832,"v_lshl_or_b32 v4, v36, 6, v2",8,40,8,0,""
2,9840,"s_add_i32 s0, s2, s0",8,32,0,0,""
2,9844,"v_mul_lo_u32 v2, s9, v4",8,32,0,0,""
2,9852,"v_lshlrev_b32_e32 v5, 3, v1",8,64,32,0,""
2,9856,"v_lshlrev_b32_e32 v38, 3, v36",8,32,0,124,""
2,9860,"s_lshl_b64 s[24:25], s[0:1], 1",8,48,16,0,""
2,9864,"v_mad_u64_u32 v[14:15], s[8:9], s10, v5, v[2:3]",8,32,0,0,""
2,9872,"v_and_b32_e32 v37, 0x7f, v0",8,32,0,0,""
2,9880,"v_mul_lo_u32 v2, s12, v38",8,32,0,0,""
2,9888,"s_add_u32 s2, s18, s24",8,32,0,64,""
2,9892,"v_mad_u64_u32 v[2:3], s[8:9], s13, v37, v[2:3]",8,32,0,0,""
2,9900,"v_lshl_or_b32 v87, v4, 4, v5",8,32,0,0,""
2,9908,"s_addc_u32 s3, s19, s25",8,32,0,96,""
2,9912,"v_mov_b32_e32 v15, 0",8,32,0,0,""
2,9916,"v_lshl_add_u64 v[4:5], v[14:15], 1, s[28:29]",8,32,0,7440,""
2,9924,"global_load_dwordx4 v[4:7], v[4:5], off",8,176,144,64,""
2,9932,"v_lshlrev_b32_e32 v3, 1, v87",8,40,0,0,""
2,9936,"s_waitcnt vmcnt(0)",8,35824,35824,0,""
2,9940,"ds_write_b128 v3, v[4:7]",8,156,0,0,""
2,9948,"v_add_u32_e32 v4, s12, v2",8,32,0,4,""
2,9952,"v_add_u32_e32 v6, s12, v4",8,32,0,0,""
2,9956,"v_add_u32_e32 v8, s12, v6",8,32,0,0,""
2,9960,"v_add_u32_e32 v10, s12, v8",8,32,0,0,""
2,9964,"v_add_u32_e32 v12, s12, v10",8,32,0,0,""
2,9968,"v_mov_b32_e32 v3, v15",8,32,0,0,""
2,9972,"v_add_u32_e32 v16, s12, v12",8,32,0,0,""
2,9976,"v_lshl_add_u64 v[20:21], v[2:3], 1, s[2:3]",8,32,0,0,""
2,9984,"v_mov_b32_e32 v5, v15",8,32,0,0,""
2,9988,"v_mov_b32_e32 v7, v15",8,32,0,0,""
2,9992,"v_mov_b32_e32 v9, v15",8,32,0,0,""
2,9996,"v_mov_b32_e32 v11, v15",8,32,0,0,""
2,10000,"v_mov_b32_e32 v13, v15",8,32,0,0,""
2,10004,"v_mov_b32_e32 v17, v15",8,32,0,0,""
2,10008,"v_add_u32_e32 v18, s12, v16",8,32,0,0,""
2,10012,"v_mov_b32_e32 v19, v15",8,32,0,0,""
2,10016,"v_lshl_add_u64 v[22:23], v[4:5], 1, s[2:3]",8,32,0,0,""
2,10024,"v_lshl_add_u64 v[24:25], v[6:7], 1, s[2:3]",8,32,0,0,""
2,10032,"v_lshl_add_u64 v[26:27], v[8:9], 1, s[2:3]",8,32,0,0,""
2,10040,"v_lshl_add_u64 v[28:29], v[10:11], 1, s[2:3]",8,32,0,0,""
2,10048,"v_lshl_add_u64 v[30:31], v[12:13], 1, s[2:3]",8,32,0,0,""
2,10056,"v_lshl_add_u64 v[32:33], v[16:17], 1, s[2:3]",8,32,0,0,""
2,10064,"v_lshl_add_u64 v[34:35], v[18:19], 1, s[2:3]",8,32,0,0,""
2,10072,"global_load_ushort v39, v[20:21], off",8,420,388,64,""
2,10080,"global_load_ushort v40, v[22:23], off",8,32,0,0,""
2,10088,"global_load_ushort v41, v[24:25], off",8,32,0,0,""
2,10096,"global_load_ushort v42, v[26:27], off",8,32,0,0,""
2,10104,"global_load_ushort v43, v[28:29], off",8,32,0,0,""
2,10112,"global_load_ushort v44, v[30:31], off",8,32,0,0,""
2,10120,"global_load_ushort v45, v[32:33], off",8,456,420,0,""
